Meet Name,Date,Event,Gender,Place,Name,Birthdate,Nationality,Mark
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,1.,Ernest John OBIENA,17 NOV 1995,PHI,5.80
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,2.,Thibaut COLLET,17 JUN 1999,FRA,5.80
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,3.,Piotr LISEK,16 AUG 1992,POL,5.60
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,4.,Ersu ŞAŞMA,30 SEP 1999,TUR,5.45
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,5.,Matt LUDWIG,05 JUL 1996,USA,5.45
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,6.,Oleg ZERNIKEL,16 APR 1995,GER,5.30
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,7.,Austin MILLER,01 JUN 1994,USA,5.30
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,,Menno VLOON,11 MAY 1994,NED,NM
Atletang Ayala World Pole Vault Challenge,21-Sep-25,pole-vault,male,,Hocket DE LOS SANTOS,28 OCT 2002,PHI,NM
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,1.,Ali AL BALUSHI,09 FEB 2002,OMA,10.09
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,2.,Brandon HICKLIN,02 APR 1999,USA,10.12
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,3.,Andre DE GRASSE,10 NOV 1994,CAN,10.16
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,4.,Zhenye XIE,17 AUG 1993,CHN,10.21
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,5.,Keli ZENG,28 SEP 2006,CHN,10.23
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,6.,Jinxian HE,13 NOV 2006,CHN,10.25
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,7.,Eloy BENITEZ,07 MAY 2003,PUR,10.25
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,8.,Guanfeng CHEN,05 FEB 2000,CHN,10.27
World Athletics Continental Tour - Beijing,07-Sep-25,100m,male,9.,Luyi WU,04 JUN 2005,CHN,10.49
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,1.,Khaleb MCRAE,09 SEP 2000,USA,44.64
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,2.,Bryce DEADMON,26 MAR 1997,USA,44.78
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,3.,Dylan BORLÉE,20 SEP 1992,BEL,45.15
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,4.,Paul DEDEWO,05 JUN 1991,USA,45.56
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,5.,Kai LIU,10 MAY 2006,CHN,45.80
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,6.,Xinlong XU,14 MAR 2007,CHN,46.17
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,7.,Chiyu ZHENG,03 OCT 2003,CHN,46.57
World Athletics Continental Tour - Beijing,07-Sep-25,400m,male,8.,Yiqing LI,21 AUG 2005,CHN,46.97
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,1.,Mark ENGLISH,18 MAR 1993,IRL,1:44.67
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,2.,Pablo SÁNCHEZ-VALLADARES,12 NOV 1997,ESP,1:44.79
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,3.,Wyclife KINYAMAL,02 JUL 1997,KEN,1:44.86
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,4.,Pieter SISK,08 DEC 1999,BEL,1:45.20
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,5.,Zhongqiang MA,26 MAY 2000,CHN,1:46.26
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,6.,Junlin LI,06 AUG 1998,CHN,1:46.29
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,7.,Ethan HUSSEY,05 MAR 2003,GBR,1:46.36
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,8.,Wenhui WANG,10 JUN 2003,CHN,1:46.60
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,9.,Zilong LV,02 DEC 2005,CHN,1:46.77
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,10.,Haoqi XIA,10 OCT 2000,CHN,1:47.79
World Athletics Continental Tour - Beijing,07-Sep-25,800m,male,,Malik SKUPIN-ALFA,18 JUN 2004,GER,DNF
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,1.,Tatsuki ABE,03 AUG 2003,JPN,13.22
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,2.,Zhuoyi XU,21 AUG 2003,CHN,13.23
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,3.,Yuanjiang CHEN,27 JAN 2006,CHN,13.27
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,4.,Freddie CRITTENDEN,03 AUG 1994,USA,13.39
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,5.,Eric EDWARDS,03 JAN 2000,USA,13.49
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,6.,Shenglong ZHU,25 JAN 2000,CHN,13.53
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,7.,Romain LECOEUR,09 AUG 1997,FRA,13.54
World Athletics Continental Tour - Beijing,07-Sep-25,110mh,male,8.,Weibo QIN,29 DEC 2002,CHN,13.56
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,1.,Jialun LI,16 APR 1995,CHN,2.20
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,2.,Zhen WANG,07 OCT 2001,CHN,2.20
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,3.,Guobiao WU,07 AUG 2002,CHN,2.20
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,4.,Juozas BAIKŠTYS,18 MAR 1998,LTU,2.15
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,5.,Caleb SNOWDEN,01 JUN 2002,USA,2.15
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,6.,Houcheng ZHOU,16 JUN 2004,CHN,2.10
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,6.,Thomas CARMOY,16 FEB 2000,BEL,2.10
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,8.,Donald THOMAS,01 JUL 1984,BAH,2.10
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,8.,Naoto HASEGAWA,15 NOV 1996,JPN,2.10
World Athletics Continental Tour - Beijing,07-Sep-25,high-jump,male,10.,Yong ZHA,28 NOV 2005,CHN,2.05
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,1.,Tao ZHONG,12 AUG 2002,CHN,5.75
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,2.,Cole WALSH,14 JUN 1995,USA,5.75
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,3.,Ernest John OBIENA,17 NOV 1995,PHI,5.65
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,3.,Bokai HUANG,26 SEP 1996,CHN,5.65
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,5.,Chenyang LI,12 MAY 2003,CHN,5.50
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,6.,Keaton DANIEL,08 APR 2001,USA,5.50
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,7.,Scott TONEY,23 APR 2002,USA,5.35
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,,Zhipeng CHEN,25 JUL 2005,CHN,NM
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,,Liang ZENG,16 JAN 2007,CHN,NM
World Athletics Continental Tour - Beijing,07-Sep-25,pole-vault,male,,Ruiyang SUN,05 FEB 2004,CHN,NM
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,1.,Filip PRAVDICA,28 JUL 1995,CRO,7.88
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,2.,Henrik FLÅTNES,26 DEC 2001,NOR,7.88
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,3.,Qichen ZHANG,24 JUN 2000,CHN,7.78
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,4.,William WILLIAMS,31 JAN 1995,USA,7.78
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,5.,Cameron CRUMP,03 SEP 1999,USA,7.78
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,6.,Junhui TAO,26 APR 1999,CHN,7.69
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,7.,Weiqiang XU,14 JUL 2002,CHN,7.62
World Athletics Continental Tour - Beijing,07-Sep-25,long-jump,male,8.,Bin ZHOU,16 AUG 2006,CHN,7.28
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,1.,Maia MCCOY,09 DEC 1996,USA,11.20
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,2.,Destiny SMITH-BARNETT,26 JUL 1996,LBR,11.28
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,3.,Celera BARNES,02 DEC 1998,USA,11.32
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,4.,Leah BERTRAND,26 JUL 2002,TTO,11.34
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,5.,Xiajun LIU,16 JUL 2005,CHN,11.43
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,6.,Yue PAN,29 MAR 2003,CHN,11.51
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,7.,Shuping HUANG,09 FEB 2003,CHN,11.61
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,8.,Chao DING,13 JAN 1996,CHN,11.74
World Athletics Continental Tour - Beijing,07-Sep-25,100m,female,9.,Xinyuan HE,11 JUN 2002,CHN,11.87
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,1.,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,4:06.95
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,2.,Christina ARAGON,17 JUN 1997,USA,4:07.20
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,3.,Adèle GAY,16 OCT 2004,FRA,4:07.21
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,4.,Bérénice CLEYET-MERLE,24 OCT 1994,FRA,4:07.24
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,5.,Kristiina SASÍNEK MÄKI,22 SEP 1991,CZE,4:07.93
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,6.,Bérénice FULCHIRON,17 FEB 2000,FRA,4:08.66
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,7.,Chunhui LI,29 MAR 2001,CHN,4:08.76
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,8.,Rong RONG,13 AUG 2007,CHN,4:17.71
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,9.,Hui XU,02 MAR 2003,CHN,4:21.91
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,10.,Jinping SONG,04 FEB 2010,CHN,4:27.23
World Athletics Continental Tour - Beijing,07-Sep-25,1500m,female,,Sana HAMMAMI,20 OCT 1994,FRA,DNF
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,1.,Anna TÓTH,20 NOV 2003,HUN,12.83
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,2.,Rayniah JONES,28 SEP 2001,USA,13.00
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,3.,Ricarda LOBE,13 APR 1994,GER,13.05
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,4.,Jingyang LIU,12 AUG 1997,CHN,13.11
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,5.,Yunzhe JIANGLI,10 FEB 2002,CHN,13.22
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,6.,Yiru DAI,15 JAN 2001,CHN,13.31
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,7.,Liz CLAY,09 MAY 1995,AUS,13.38
World Athletics Continental Tour - Beijing,07-Sep-25,100mh,female,8.,Yinfeng CHEN,16 APR 1998,CHN,13.55
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,1.,Kristiina HALONEN,10 OCT 1997,FIN,55.46
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,2.,Yingying KONG,22 MAR 2003,CHN,55.54
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,3.,Jiadie MO,06 JAN 2000,CHN,56.31
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,4.,Louise MARAVAL,31 JUL 2001,FRA,56.93
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,5.,Tia-Adana BELLE,15 JUN 1996,BAR,57.84
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,6.,Ying OU,03 DEC 2001,CHN,58.76
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,7.,Wanyu ZHAO,01 MAY 2004,CHN,1:00.09
World Athletics Continental Tour - Beijing,07-Sep-25,400mh,female,8.,Yalun WANG,13 APR 2005,CHN,1:00.21
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,1.,Sarah MITTON,20 JUN 1996,CAN,19.81
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,2.,Fanny ROOS,02 JAN 1995,SWE,19.35
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,3.,Linru ZHANG,23 SEP 1999,CHN,19.05
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,4.,Maddison-Lee WESCHE,13 JUN 1999,NZL,18.79
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,5.,Jessica WOODARD,04 FEB 1995,USA,18.05
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,6.,Wenqi YE,26 JUN 2001,CHN,17.69
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,7.,Yue SUN,19 JUN 2001,CHN,17.39
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,8.,Yue JIANG,06 OCT 1998,CHN,17.35
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,9.,Ziyi CHEN,24 AUG 2001,CHN,16.61
World Athletics Continental Tour - Beijing,07-Sep-25,shot-put,female,10.,Xinyi TIAN,09 AUG 2006,CHN,15.33
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,1.,Ziyi YAN,22 MAY 2008,CHN,64.46
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,2.,Lingdan SU,12 JAN 1997,CHN,62.39
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,3.,Qianqian DAI,23 AUG 2000,CHN,58.49
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,4.,Yuzhen YU,05 MAR 1998,CHN,57.71
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,5.,Shujing HUANG,24 SEP 2004,CHN,57.24
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,6.,Xinjie GU,02 FEB 2001,CHN,57.21
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,7.,Jingyi YIN,29 OCT 2002,CHN,56.43
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,8.,Qiaozhen MA,13 FEB 2002,CHN,53.36
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,9.,Yuki YAMAMOTO,16 OCT 2000,JPN,53.36
World Athletics Continental Tour - Beijing,07-Sep-25,javelin-throw,female,10.,Mackenzie MIELCZAREK,06 FEB 2003,AUS,53.35
Velká cena Chebu,05-Sep-25,long-jump,male,1.,Petr MEINDLSCHMID,15 JAN 2006,CZE,7.60
Velká cena Chebu,05-Sep-25,long-jump,male,2.,David BÍMAN,2007,CZE,6.60
Velká cena Chebu,05-Sep-25,long-jump,male,3.,Ronet Hauanga HIRKA,17 OCT 2007,SVK,6.46
Velká cena Chebu,05-Sep-25,long-jump,male,4.,Stanislav KRAJČÍR,13 AUG 2002,SVK,6.14
Velká cena Chebu,05-Sep-25,long-jump,male,5.,Miroslav MAN,2009,CZE,6.10
Velká cena Chebu,05-Sep-25,long-jump,male,6.,Matěj LIŠKA,2009,CZE,6.04
Velká cena Chebu,05-Sep-25,long-jump,male,7.,Jakub NYGRÝN,2009,CZE,5.77
Velká cena Chebu,05-Sep-25,javelin-throw,male,1.,Jan VÝŠKA,24 MAY 2004,CZE,77.52
Velká cena Chebu,05-Sep-25,javelin-throw,male,2.,Patrik MICHALEC,07 APR 2000,SVK,73.48
Velká cena Chebu,05-Sep-25,javelin-throw,male,3.,Josef ŠINDELÁŘ,25 JAN 2006,CZE,71.38
Velká cena Chebu,05-Sep-25,javelin-throw,male,4.,Jacob Binou NIELSEN,06 APR 2000,DEN,70.96
Velká cena Chebu,05-Sep-25,javelin-throw,male,5.,Jan MIHÁL,30 JUL 1986,CZE,59.45
Velká cena Chebu,05-Sep-25,javelin-throw,male,6.,Dominik HANKO,2005,CZE,53.98
Velká cena Chebu,05-Sep-25,javelin-throw,male,7.,Filip HANZAL,2006,CZE,50.23
Velká cena Chebu,05-Sep-25,long-jump,female,1.,Iryna BUDZYNSKA,04 JAN 2001,UKR,6.03
Velká cena Chebu,05-Sep-25,long-jump,female,2.,Paula PERONČÍKOVÁ,23 DEC 2006,SVK,5.94
Velká cena Chebu,05-Sep-25,long-jump,female,3.,Daniela VOLNÁ,13 JUN 2002,CZE,5.90
Velká cena Chebu,05-Sep-25,long-jump,female,4.,Imke DAALMANN,14 MAY 1999,GER,5.87
Velká cena Chebu,05-Sep-25,long-jump,female,5.,Michaela COMOVÁ,22 MAY 2001,SVK,5.80
Velká cena Chebu,05-Sep-25,long-jump,female,6.,Kristýna ZÁHOŘOVÁ,2009,CZE,5.77
Velká cena Chebu,05-Sep-25,long-jump,female,7.,Ema BENDOVÁ,26 FEB 2007,SVK,5.56
Velká cena Chebu,05-Sep-25,long-jump,female,8.,Lucie LASÍKOVÁ,20 MAR 2005,CZE,5.50
Velká cena Chebu,05-Sep-25,long-jump,female,9.,Leona FIŠÁKOVÁ,2011,CZE,5.10
Velká cena Chebu,05-Sep-25,long-jump,female,10.,Eliška JANÍKOVÁ,2007,CZE,4.98
Velká cena Chebu,05-Sep-25,long-jump,female,11.,Natálie BEKOVÁ,2010,CZE,4.85
Velká cena Chebu,05-Sep-25,long-jump,female,,Aneta SEIDLOVÁ,2010,CZE,NM
Velká cena Chebu,05-Sep-25,javelin-throw,female,1.,Martina PÍŠOVÁ,20 JUL 1994,CZE,56.92
Velká cena Chebu,05-Sep-25,javelin-throw,female,2.,Nikol TABAČKOVÁ,24 JAN 1998,CZE,54.60
Velká cena Chebu,05-Sep-25,javelin-throw,female,3.,Beatrice LANTZ,22 OCT 1997,SWE,51.16
Velká cena Chebu,05-Sep-25,javelin-throw,female,4.,Viktorie MELIŠÍKOVÁ,2007,CZE,44.93
Velká cena Chebu,05-Sep-25,javelin-throw,female,5.,Julie VAŇKOVÁ,01 NOV 2005,CZE,44.87
Velká cena Chebu,05-Sep-25,javelin-throw,female,6.,Magdaléna HELLMAYEROVÁ,09 FEB 2005,CZE,42.46
Velká cena Chebu,05-Sep-25,javelin-throw,female,7.,Magdaléna ŠTAMPACHOVÁ,09 NOV 2005,CZE,41.38
Velká cena Chebu,05-Sep-25,javelin-throw,female,8.,Nicol CARMINE,2009,CZE,34.20
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,1.,Nicolae Alexandru SOARE,20 SEP 1991,ROU,2:11:58
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,2.,Dickson KIPROP,1999,KEN,2:13:16
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,3.,Daniel LAUREN,1999,KEN,2:16:25
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,4.,Tiidrek NURME,18 NOV 1985,EST,2:18:29
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,5.,Ivan SIURIS,17 JUN 1991,MDA,2:19:41
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,6.,Silviu STOICA,13 AUG 1988,ROU,2:26:38
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,7.,Cristian NEASCU,1990,ROU,2:28:55
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,8.,Claudiu Cristian GORGAN,01 FEB 1990,ROU,2:32:05
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,9.,Andrei CRAINIC,1988,ROU,2:32:58
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,10.,Bogdan IBANESCU,1991,ROU,2:34:01
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,12.,Gheorghita Paul POPA,1999,ROU,2:34:05
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,13.,Szabolcs Istvan GYORGY,1992,ROU,2:35:27
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,1.,Beatrice CHERONO,12 AUG 1994,KEN,2:44:51
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,2.,Mercy KIPKEMOI,28 DEC 1997,KEN,2:44:52
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,3.,Andreea Alina PISCU,09 JUN 1996,ROU,2:51:29
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,4.,Irina FAICIUC,1996,ROU,2:52:44
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,5.,Adela-Paulina BALTOI,19 SEP 1992,ROU,2:53:27
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,6.,Cristina SIMION,20 NOV 1991,ROU,2:53:54
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,7.,Natalia ZBIRNEA,1990,ROU,2:57:25
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,8.,Malina SERDEAN,1991,ROU,2:58:38
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,9.,Loredana VIZITEU,26 OCT 2000,ROU,3:01:52
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,10.,Ibadula AIFER,1989,ROU,3:04:40
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,1.,Nicolae Alexandru SOARE,20 SEP 1991,ROU,2:11:58
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,2.,Silviu STOICA,13 AUG 1988,ROU,2:26:38
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,3.,Cristian NEASCU,1990,ROU,2:28:55
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,4.,Claudiu Cristian GORGAN,01 FEB 1990,ROU,2:32:05
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,5.,Andrei CRAINIC,1988,ROU,2:32:58
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,6.,Bogdan IBANESCU,1991,ROU,2:34:01
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,7.,Gheorghita Paul POPA,1999,ROU,2:34:05
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,male,8.,Szabolcs Istvan GYORGY,1992,ROU,2:35:27
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,1.,Andreea Alina PISCU,09 JUN 1996,ROU,2:51:29
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,2.,Irina FAICIUC,1996,ROU,2:52:44
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,3.,Adela-Paulina BALTOI,19 SEP 1992,ROU,2:53:27
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,4.,Cristina SIMION,20 NOV 1991,ROU,2:53:54
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,5.,Natalia ZBIRNEA,1990,ROU,2:57:25
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,6.,Malina SERDEAN,1991,ROU,2:58:38
Raiffeisen Bank Bucharest Marathon,12-Oct-25,marathon,female,7.,Loredana VIZITEU,26 OCT 2000,ROU,3:01:52
Marathon München by Brooks,12-Oct-25,marathon,male,1.,Gabriel LAUTENSCHLAGER,09 DEC 1995,GER,2:18:30
Marathon München by Brooks,12-Oct-25,marathon,male,2.,Florian BOCHERT,2000,GER,2:20:11
Marathon München by Brooks,12-Oct-25,marathon,male,3.,Manuel KRUSE,1990,GER,2:31:34
Marathon München by Brooks,12-Oct-25,marathon,male,4.,Dominik STADELMANN,,GER,2:31:53
Marathon München by Brooks,12-Oct-25,marathon,male,5.,Pessen YOTAM,,ISR,2:32:44
Marathon München by Brooks,12-Oct-25,marathon,male,6.,Timo LÖRCH,,GER,2:33:54
Marathon München by Brooks,12-Oct-25,marathon,male,7.,Georg DETTWEILER,,GER,2:34:03
Marathon München by Brooks,12-Oct-25,marathon,male,8.,Michael POSTASKI,,USA,2:34:24
Marathon München by Brooks,12-Oct-25,marathon,male,9.,Kristoffer LINNA,,SWE,2:34:42
Marathon München by Brooks,12-Oct-25,marathon,male,10.,Thaler NOE,,ITA,2:34:54
Marathon München by Brooks,12-Oct-25,marathon,male,11.,Klaas PULS,1973,GER,2:35:48
Marathon München by Brooks,12-Oct-25,marathon,male,12.,Moritz WÖLFEL,,GER,2:36:04
Marathon München by Brooks,12-Oct-25,marathon,male,13.,Rafael MAJER,,GER,2:36:53
Marathon München by Brooks,12-Oct-25,marathon,female,1.,Nina VOELCKEL,06 FEB 1999,GER,2:31:34
Marathon München by Brooks,12-Oct-25,marathon,female,2.,Kristina HENDEL,13 MAY 1996,GER,2:36:41
Marathon München by Brooks,12-Oct-25,marathon,female,3.,Anja RÖTTINGER,1985,GER,2:42:08
Marathon München by Brooks,12-Oct-25,marathon,female,4.,Ruth BERGMANN,,GER,2:46:20
Marathon München by Brooks,12-Oct-25,marathon,female,5.,Laurine FREITAG,,GER,2:54:34
Marathon München by Brooks,12-Oct-25,marathon,female,6.,Martina WESTERMEIER,,GER,2:55:28
Marathon München by Brooks,12-Oct-25,marathon,female,7.,Laura STUHLDREYER,1988,GER,2:55:42
Marathon München by Brooks,12-Oct-25,marathon,female,8.,Anna SCHNEIDERBANGER,,GER,2:56:49
Marathon München by Brooks,12-Oct-25,marathon,female,9.,Kaltrina MALIQI,,GER,2:59:45
Marathon München by Brooks,12-Oct-25,marathon,female,10.,Lotte BÖS,,GER,3:00:12
Marathon München by Brooks,12-Oct-25,marathon,female,11.,Charlotte GRUNWALD,,GER,3:00:14
Marathon München by Brooks,12-Oct-25,marathon,female,12.,Linda BÜHNER,,GER,3:00:30
Marathon München by Brooks,12-Oct-25,marathon,female,13.,Alexandra DANNER,,GER,3:02:39
Marathon München by Brooks,12-Oct-25,marathon,female,14.,Annike WIEDEMANN,,GER,3:03:42
Marathon München by Brooks,12-Oct-25,marathon,female,15.,Nora BARTELS,,GER,3:03:44
Marathon München by Brooks,12-Oct-25,marathon,female,16.,Maike EBERHARDT,,GER,3:04:23
Marathon München by Brooks,12-Oct-25,marathon,female,17.,Julia BACHL,,GER,3:04:59
