Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
46th World Athletics Cross Country Championships,10 JAN 2026,2026-01-10,2026-01-10,USA,GW,"World Athletics Cross Country Championships, World Athletics Series",Result,https://worldathletics.org/competition/calendar-results/results/7206650
Tyson Invitational,13-14 FEB 2026,2026-02-13,2026-02-14,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",USA,Track and Field,World Athletics Indoor Tour,
13. Erfurt Indoor 2026,13 FEB 2026,2026-02-13,2026-02-13,"Hartwig-Gauder-Halle, Erfurt (GER)",GER,Track and Field,World Athletics Indoor Tour,
Indoor Spike,12 FEB 2026,2026-02-12,2026-02-12,"Atletická hala, Ruská, Ostrava (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7231411
Memorijal Josip Gašparac,12-13 FEB 2026,2026-02-12,2026-02-13,"Dvorane Gradski Vrt, Osijek (CRO)",CRO,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229855
Belgrade Indoor Meeting,11 FEB 2026,2026-02-11,2026-02-11,"Atletska dvorana, Beograd (SRB)",SRB,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7228107
High Jump Meeting Beskyd Bar,10 FEB 2026,2026-02-10,2026-02-10,"Werk Arena, Třinec (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229835
Sparkassen Indoor Meeting Dortmund,08 FEB 2026,2026-02-08,2026-02-08,"Helmut-Körnig-Halle, Dortmund (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230000
INIT Indoor Meeting Karlsruhe,08 FEB 2026,2026-02-08,2026-02-08,"Europahalle, Karlsruhe (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230001
Meeting Metz Moselle Athlélor Crédit Mutuel,08 FEB 2026,2026-02-08,2026-02-08,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229843
Fly Athens Indoor,07 FEB 2026,2026-02-07,2026-02-07,"Olympic Sports Complex of Paiania, Athina (GRE)",GRE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7233319
High Jump Meeting Hustopečské skákání,07 FEB 2026,2026-02-07,2026-02-07,"Městská sportovní hala, Hustopeče (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229832
EAP CIRCUIT Cosma Indoor Cup,07 FEB 2026,2026-02-07,2026-02-07,"President Valdas Adamkus athletics indoor arena, Kaunas (LTU)",LTU,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229934
Perche en Or,07 FEB 2026,2026-02-07,2026-02-07,"Stabinski Velodrome, Roubaix (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230454
World Indoor Tour Gold Madrid 2026,06 FEB 2026,2026-02-06,2026-02-06,"Gallur, Madrid (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229626
BKK Freundenburg High Jump Meeting,06 FEB 2026,2026-02-06,2026-02-06,"TSG-Halle, Weinheim (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230011
IFAM Louvain-La-Neuve Indoor,04 FEB 2026,2026-02-04,2026-02-04,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229894
Udin Jump Development,04 FEB 2026,2026-02-04,2026-02-04,"Palaindoor O. Bernes, Udine (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234037
Czech Indoor Gala,03 FEB 2026,2026-02-03,2026-02-03,"Atletická hala, Ostrava (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7228062
Rochlitz Shot Put Meeting,01 FEB 2026,2026-02-01,2026-02-01,"Turnhalle Am Regenbogen, Rochlitz (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230006
Meeting de L'Eure,01 FEB 2026,2026-02-01,2026-02-01,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229841
Indoor High Jump,31 JAN 2026,2026-01-31,2026-01-31,"Pista Coperta Moreno Martini, Lucca (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7235465
Gran Premio Ciudad de Valencia,31 JAN 2026,2026-01-31,2026-01-31,"Velódromo Luis Puig, Valencia (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229988
IFAM Gent Indoor,31 JAN 2026,2026-01-31,2026-01-31,"Topsporthal Vlaanderen, Gent (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229854
Gorzów Jump Festival,31 JAN 2026,2026-01-31,2026-01-31,"Arena Gorzów, Gorzów Wielkopolski (POL)",POL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229933
International Nordhausen Indoor Shot put,31 JAN 2026,2026-01-31,2026-01-31,"Wiedigsburghalle, Nordhausen (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234320
6th International High Jump Gala Elmos,31 JAN 2026,2026-01-31,2026-01-31,"Sport Vlaanderen Herentals, Herentals (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229853
Meeting Indoor de Limoges,31 JAN 2026,2026-01-31,2026-01-31,"Salle Marie-José Perec, Limoges (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230653
scottishathletics EAP Indoor International,31 JAN 2026,2026-01-31,2026-01-31,"Emirates Arena, Glasgow (GBR)",GBR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234136
Millrose Games,30 JAN-01 FEB 2026,2026-01-30,2026-02-01,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229596
Elite Indoor Track Miramas Meeting,30 JAN 2026,2026-01-30,2026-01-30,"Stadium Miramas Métropole, Miramas (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229845
Perch'Xtrem,30-31 JAN 2026,2026-01-30,2026-01-31,"Palais des Sports Caen la Mer, Caen (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229844
DeLoss Dodds Invitational,30-31 JAN 2026,2026-01-30,2026-01-31,"Cliff Rovelto Indoor Track, Manhattan, KS (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7233294
International Jump-Meeting Cottbus,28 JAN 2026,2026-01-28,2026-01-28,"Lausitz-Arena, Cottbus (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230010
Orlen Cup Łódź,25 JAN 2026,2026-01-25,2026-01-25,"Atlas Arena, Łódź (POL)",POL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229932
Meeting de Paris Indoor,25 JAN 2026,2026-01-25,2026-01-25,"AccorHotels Arena de Bercy, Paris (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229846
Meeting Moniz Pereira,25 JAN 2026,2026-01-25,2026-01-25,"Expocentro, Pombal (POR)",POR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234540
Vinthundsvintern,24 JAN 2026,2026-01-24,2026-01-24,"Friidrottshall, Sollentuna (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232299
New Balance Indoor Grand Prix,24 JAN 2026,2026-01-24,2026-01-24,"The Track at New Balance, Boston, MA (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7231935
Meeting Indoor de Lyon,24 JAN 2026,2026-01-24,2026-01-24,"Halle Stéphane Diagana, Lyon (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229847
27. Internationales Leichtathletik Hallenmeeting,24 JAN 2026,2026-01-24,2026-01-24,"Leichtathletikhalle im Sportforum, Chemnitz (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230008
ISTAF Indoor Düsseldorf,24 JAN 2026,2026-01-24,2026-01-24,"PSD Bank Dome, Düsseldorf (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230009
Starperche,24 JAN 2026,2026-01-24,2026-01-24,"Palais des Sports, Bordeaux (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229848
Dr. Sander Invitational,24 JAN 2026,2026-01-24,2026-01-24,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229595
Full Moon Jump,24 JAN 2026,2026-01-24,2026-01-24,"Friidrottens Hus, Göteborg (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232018
Meeting de Nantes Metropole,23 JAN 2026,2026-01-23,2026-01-23,"Stadium Pierre-Quinon, Nantes (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229849
Meeting Internacional Catalunya de Pista Coberta,23 JAN 2026,2026-01-23,2026-01-23,"Pista Coberta de Catalunya, Sabadell (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229991
BAUHAUS-galan Indoor,22 JAN 2026,2026-01-22,2026-01-22,"Sätrahallen, Stockholm (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7233157
Tampere Indoor Meeting,21 JAN 2026,2026-01-21,2026-01-21,"TESC, Tampere (FIN)",FIN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230005
Aarhus SPRINT’n’JUMP,20 JAN 2026,2026-01-20,2026-01-20,"Aarhus Atletik og Løbeakademi, Århus (DEN)",DEN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229931
CMCM Luxembourg Indoor Meeting,18 JAN 2026,2026-01-18,2026-01-18,"Coque Sport Center, Luxembourg (LUX)",LUX,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229953
Meeting de Saut en Hauteur d'Hirson,17 JAN 2026,2026-01-17,2026-01-17,"Salle Georges Hébert, Hirson (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229989
Antequera Indoor Match,17 JAN 2026,2026-01-17,2026-01-17,"Centro de Tecnificación de Atletismo, Antequera (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230654
Klaverblad International Polsstokhoog gala,17 JAN 2026,2026-01-17,2026-01-17,"ARV Ilion, Zoetermeer (NED)",NED,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234135
Česká tyčka,17 JAN 2026,2026-01-17,2026-01-17,"Přetlaková hala Strahov, Strahov, Praha (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229836
"V ""Memorial Alessio Giovannini""",17 JAN 2026,2026-01-17,2026-01-17,"Palaindoor Ancona, Ancona (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234926
UCS Spirit National Pole Vault Summit,16-17 JAN 2026,2026-01-16,2026-01-17,"Reno Livestock Events Center, Reno, NV (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232166
Stabhochsprung Stars,11 JAN 2026,2026-01-11,2026-01-11,"Raiffeisen athletics-center, Frauenfeld (SUI)",SUI,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232764
Penn Select,10 JAN 2026,2026-01-10,2026-01-10,"Ott Center for Track & Field, Philadelphia, PA (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230849
Fana stavhoppgalla,03 JAN 2026,2026-01-03,2026-01-03,"Fana Arena, Bergen (NOR)",NOR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229930
Sir Graeme Douglas International,08 FEB 2026,2026-02-08,2026-02-08,"Douglas Track & Field, Auckland (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230814
Pak'n Save Cooks International Classic,24 JAN 2026,2026-01-24,2026-01-24,"Cooks Gardens, Whanganui (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230813
Allan & Sylvia Potts Classic,17 JAN 2026,2026-01-17,2026-01-17,"Mitre10 Sports Park, Hastings (NZL)",NZL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7231313
Burj2Burj Half Marathon,08 FEB 2026,2026-02-08,2026-02-08,Dubai (UAE),UAE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237869
10K Gimnastica de Ulla,08 FEB 2026,2026-02-08,2026-02-08,San Sebastián (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236419
74th Beppu-Oita Mainichi Marathon,01 FEB 2026,2026-02-01,2026-02-01,Oita (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236070
78th Kagawa Marugame International Half Marathon,01 FEB 2026,2026-02-01,2026-02-01,Marugame (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236069
TotalEnergies 10k Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237039
TotalEnergies Media Maratón Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237038
