Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
TotalEnergies Maratón Murcia Costa Cálida,01 FEB 2026,2026-02-01,2026-02-01,Murcia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235994
Dubai Marathon,01 FEB 2026,2026-02-01,2026-02-01,Dubai (UAE),UAE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237510
Meia Maratona de Cascais,01 FEB 2026,2026-02-01,2026-02-01,Cascais (POR),POR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237524
Riyadh Marathon,31 JAN 2026,2026-01-31,2026-01-31,Riyadh (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236536
Riyadh Half Marathon,31 JAN 2026,2026-01-31,2026-01-31,Riyadh (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236749
Medio Maraton Sevilla,25 JAN 2026,2026-01-25,2026-01-25,Sevilla (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235993
Osaka Women's Marathon,25 JAN 2026,2026-01-25,2026-01-25,Osaka (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235936
AXA Raheny 5,25 JAN 2026,2026-01-25,2026-01-25,Dublin (IRL),IRL,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237309
Marrakesh International Marathon,25 JAN 2026,2026-01-25,2026-01-25,Marrakech (MAR),MAR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237507
Buriram Marathon Presented by Chang Mineral,24 JAN 2026,2026-01-24,2026-01-24,Buri Ram (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235987
Semi Marathon International de Djibouti Telecom,23 JAN 2026,2026-01-23,2026-01-23,Djibouti (DJI),DJI,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7237294
Tata Mumbai Marathon,18 JAN 2026,2026-01-18,2026-01-18,Mumbai (IND),IND,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235567
Standard Chartered Hong Kong Marathon,18 JAN 2026,2026-01-18,2026-01-18,Hong Kong (HKG),HKG,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235568
34ª Mitja Marató Internacional Vila de Santa Pola,18 JAN 2026,2026-01-18,2026-01-18,Santa Pola (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236718
Chang'an Automobile Chongqing Marathon,18 JAN 2026,2026-01-18,2026-01-18,Chongqing (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235935
Doha Marathon by Ooredoo,16 JAN 2026,2026-01-16,2026-01-16,Doha (QAT),QAT,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235566
Chevron Houston Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235560
C&D Xiamen Marathon,11 JAN 2026,2026-01-11,2026-01-11,Xiamen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235565
Aramco Houston Half Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236794
10K Valencia Ibercaja by Kiprun,11 JAN 2026,2026-01-11,2026-01-11,Valencia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235984
40. OPTIMA Dreikönigslauf in Schwäbisch Hall,06 JAN 2026,2026-01-06,2026-01-06,Schwäbisch Hall (GER),GER,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236068
Tallinn 2026,31 JAN-01 FEB 2026,2026-01-31,2026-02-01,"Tallinna Kergejõustikuhall, Tallinn (EST)",EST,Combined Events,World Athletics Combined Events Tour,https://worldathletics.org/competition/calendar-results/results/7230385
3. International Antalya Race Walking Tour,07 FEB 2026,2026-02-07,2026-02-07,"Konyaaltı Boulvared, Antalya (TUR)",TUR,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7235114
Ecuadorean Race Walking Championships,07 FEB 2026,2026-02-07,2026-02-07,"Zoila Ugarte Park, Machala (ECU)",ECU,Race Walking,"World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7235729
XXXVII Gran Premio de Marcha Atlética Ciudad de Guadix,25 JAN 2026,2026-01-25,2026-01-25,"Avenida de Buenos Aires, Guadix (ESP)",ESP,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7233060
"Australian 10,000m Race Walking Championships",25-26 JAN 2026,2026-01-25,2026-01-26,"AIS Athletics Track, Canberra (AUS)",AUS,"Race Walking, Track and Field","World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7230629
Copa Brasil Loterias CAIXA de Marcha Atletica,25 JAN 2026,2026-01-25,2026-01-25,"Esplanada dos Ministérios, Brasilia (BRA)",BRA,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7234498
Gran Premi de Marxa del Vendrell,17 JAN 2026,2026-01-17,2026-01-17,El Vendrell (ESP),ESP,Race Walking,World Athletics Race Walking Tour,https://worldathletics.org/competition/calendar-results/results/7234038
USATF International Invitational Race Walk & National Race Walk Marathon Championships,11 JAN 2026,2026-01-11,2026-01-11,"Trolley Square, Santee, CA (USA)",USA,Race Walking,"World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7233058
12th Asian Indoor Athletics Championships,06-08 FEB 2026,2026-02-06,2026-02-08,"Tuanbo Sports Center, Tianjin (CHN)",CHN,"Combined Events, Track and Field",Area Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7230012
New Zealand 300m Hurdles Championships,17 JAN 2026,2026-01-17,2026-01-17,"Mitre10 Sports Park, Hastings (NZL)",NZL,Track and Field,National Senior Outdoor Championships,https://worldathletics.org/competition/calendar-results/results/7230948
Australian Athletics Short Track Championships,07 FEB 2026,2026-02-07,2026-02-07,"Lakeside Stadium, Melbourne (AUS)",AUS,Track and Field,National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7230789
Bolivian Indoor Championships,07-08 FEB 2026,2026-02-07,2026-02-08,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",BOL,"Combined Events, Track and Field",National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7236970
Azerbaijan National Indoor Championships,06-07 FEB 2026,2026-02-06,2026-02-07,"Baku Athletics Center, Baku (AZE)",AZE,Track and Field,National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7234592
Brazilian Short Track Championships,31 JAN 2026,2026-01-31,2026-01-31,"CNDA, Bragança Paulista (BRA)",BRA,Track and Field,National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7235629
Turkish Indoor Championships,31 JAN-01 FEB 2026,2026-01-31,2026-02-01,"Ataköy Arena, Istanbul (TUR)",TUR,"Combined Events, Track and Field",National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7231596
New Zealand Short Track Championships,17 JAN 2026,2026-01-17,2026-01-17,"Mitre10 Sports Park, Hastings (NZL)",NZL,Track and Field,National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7230891
Kazak Indoor Championships,09-11 JAN 2026,2026-01-09,2026-01-11,"Track & Field complex QAZAQSTAN, Astana (KAZ)",KAZ,"Combined Events, Track and Field",National Senior Indoor Championships,https://worldathletics.org/competition/calendar-results/results/7236612
Swiss Indoor Combined Events Championships,07-08 FEB 2026,2026-02-07,2026-02-08,"Halle End der Welt, Magglingen (SUI)",SUI,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7234494
Swedish Indoor Combined Events Championships,07-08 FEB 2026,2026-02-07,2026-02-08,"Tybblelundshallen, Örebro (SWE)",SWE,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7230360
Austrian Indoor Combined Events Championships,07-08 FEB 2026,2026-02-07,2026-02-08,"TipsArena, Linz (AUT)",AUT,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7236466
Danish Indoor Combined Events Championships,31 JAN-01 FEB 2026,2026-01-31,2026-02-01,"Langvang Atletikhal, Randers (DEN)",DEN,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7235797
Belarus Indoor Combined Events Championships,26-27 JAN 2026,2026-01-26,2026-01-27,"Olimpiyets Arena, Mogilyov (BLR)",BLR,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7236742
Portuguese Indoor Combined Events Championships,24-25 JAN 2026,2026-01-24,2026-01-25,"Altice Forum, Braga (POR)",POR,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7232864
Serbian Indoor Combined Events Championships,24-25 JAN 2026,2026-01-24,2026-01-25,"Atletska dvorana, Beograd (SRB)",SRB,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7234415
Latvian Indoor Combined Events Championships,17-18 JAN 2026,2026-01-17,2026-01-18,"Jāņa Daliņa Manēža, Valmiera (LAT)",LAT,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7236294
Norwegian Indoor Combined Events Championships,17-18 JAN 2026,2026-01-17,2026-01-18,"Rud friidrettstadion, Bærum (NOR)",NOR,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7234153
Irish Indoor Combined Events Championships,17-18 JAN 2026,2026-01-17,2026-01-18,"National Indoor Arena, Abbotstown, Dublin (IRL)",IRL,Combined Events,National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7234192
Lithuanian Indoor Combined Event Championships,09-10 JAN 2026,2026-01-09,2026-01-10,"Lengvosios atletikos maniežas, Šiauliai (LTU)",LTU,"Combined Events, Track and Field",National Senior Indoor Combined Events Championships,https://worldathletics.org/competition/calendar-results/results/7234611
Guatemalan Race Walking Championship,08 FEB 2026,2026-02-08,2026-02-08,San Jerónimo (GUA),GUA,Race Walking,National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7235738
Ecuadorean Race Walking Championships,07 FEB 2026,2026-02-07,2026-02-07,"Zoila Ugarte Park, Machala (ECU)",ECU,Race Walking,"World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7235729
Algerian Race Walking Championships,06 FEB 2026,2026-02-06,2026-02-06,"Complexe Olympique Mohamed Boudiaf, Algiers (ALG)",ALG,"Road Running, Race Walking",National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7236870
USA 1 Mile Race Walking Championship,01 FEB 2026,2026-02-01,2026-02-01,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7236769
Hong Kong Race Walking Championships,Postponed,,,Hong Kong (HKG),HKG,Race Walking,National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7233492
"Australian 10,000m Race Walking Championships",25-26 JAN 2026,2026-01-25,2026-01-26,"AIS Athletics Track, Canberra (AUS)",AUS,"Race Walking, Track and Field","World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7230629
Italian Marathon Race Walking Championships,25 JAN 2026,2026-01-25,2026-01-25,"Campo Giammaria, Acquaviva delle Fonti (ITA)",ITA,Race Walking,National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7237868
Greek Marathon Race Walking Championships,25 JAN 2026,2026-01-25,2026-01-25,Aliartos (GRE),GRE,Race Walking,National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7236260
Portuguese Marathon Race Walking Championships,25 JAN 2026,2026-01-25,2026-01-25,"Circuito Urbano, Porto de Mos (POR)",POR,"Road Running, Race Walking",National Senior Outdoor Race Walking Championships,https://worldathletics.org/competition/calendar-results/results/7232924
USATF International Invitational Race Walk & National Race Walk Marathon Championships,11 JAN 2026,2026-01-11,2026-01-11,"Trolley Square, Santee, CA (USA)",USA,Race Walking,"World Athletics Race Walking Tour, National Senior Outdoor Race Walking Championships",https://worldathletics.org/competition/calendar-results/results/7233058
Maratona do Funchal,17 JAN 2026,2026-01-17,2026-01-17,Funchal (POR),POR,Road Running,National Senior Marathon Championships,https://worldathletics.org/competition/calendar-results/results/7236306
Tiberias Marathon,09 JAN 2026,2026-01-09,2026-01-09,Tiberias (ISR),ISR,Road Running,National Senior Marathon Championships,https://worldathletics.org/competition/calendar-results/results/7233651
Maltese 10km Road Running Championships,18 JAN 2026,2026-01-18,2026-01-18,Ta' Qali (MLT),MLT,Road Running,National Senior Road Running Championships,https://worldathletics.org/competition/calendar-results/results/7233502
French Polynesian 5km Road Running Championships,17 JAN 2026,2026-01-17,2026-01-17,Punaauia (PYF),PYF,Road Running,National Senior Road Running Championships,https://worldathletics.org/competition/calendar-results/results/7235519
Figueira da Foz 10km,17 JAN 2026,2026-01-17,2026-01-17,Figueira da Foz (POR),POR,Road Running,National Senior Road Running Championships,https://worldathletics.org/competition/calendar-results/results/7232863
"New Zealand 10,000m Championships",10 JAN 2026,2026-01-10,2026-01-10,"Aorangi Stadium, Timaru (NZL)",NZL,Track and Field,"National Senior 10,000m Championships",https://worldathletics.org/competition/calendar-results/results/7237044
